,item_id,name,category,link,price
899,30442407,GRUBBAN,Dining furniture,https://www.ikea.com/sa/en/p/grubban-step-stool-white-birch-30442407/,SR85
900,70530954,TÄRNÖ,Outdoor furniture,https://www.ikea.com/sa/en/p/taernoe-table-outdoor-white-green-70530954/,SR149
901,50530634,HEMNES,Bookcases & shelving units,https://www.ikea.com/sa/en/p/hemnes-glass-door-cabinet-with-3-drawers-red-stained-light-brown-stained-50530634/,"SR1,845"
902,30403571,MALM,Chests of drawers & drawer units,https://www.ikea.com/sa/en/p/malm-chest-of-4-drawers-white-30403571/,SR649
903,60537852,TORPARÖ,Outdoor furniture,https://www.ikea.com/sa/en/p/torparoe-chair-with-armrests-in-outdoor-white-grey-60537852/,SR165
904,80457745,KLUBBFORS,Sofas,https://www.ikea.com/sa/en/p/klubbfors-2-seat-sofa-gunnared-beige-80457745/,"SR2,595"
905,20308697,TROFAST,Nursery furniture,https://www.ikea.com/sa/en/p/trofast-frame-light-white-stained-pine-20308697/,0
906,50300416,STRANDMON,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/strandmon-footstool-nordvalla-dark-grey-50300416/,SR345
907,40340837,EKEDALEN,Dining furniture,https://www.ikea.com/sa/en/p/ekedalen-extendable-table-oak-40340837/,SR795
908,10520364,SKRUVBY,TV & media furniture,https://www.ikea.com/sa/en/p/skruvby-tv-bench-black-blue-10520364/,SR525
909,60333850,BROR,Trolleys,https://www.ikea.com/sa/en/p/bror-trolley-black-pine-plywood-60333850/,SR695
910,60353838,INGOLF,Dining furniture,https://www.ikea.com/sa/en/p/ingolf-junior-chair-antique-stain-60353838/,SR349
911,80358750,VILTO,Dining furniture,https://www.ikea.com/sa/en/p/vilto-storage-stool-black-80358750/,SR195
912,70498421,STIG,Dining furniture,https://www.ikea.com/sa/en/p/stig-bar-stool-with-backrest-black-black-70498421/,SR99
913,60458901,IDANÄS,Beds,https://www.ikea.com/sa/en/p/idanaes-bed-frame-dark-brown-stained-60458901/,"SR1,795"
914,60265163,BOLMEN,Chairs,https://www.ikea.com/sa/en/p/bolmen-step-stool-white-60265163/,SR39
915,40407922,BRIMNES,Wardrobes,https://www.ikea.com/sa/en/p/brimnes-wardrobe-with-3-doors-white-40407922/,SR875
916,60403584,MALM,Chests of drawers & drawer units,https://www.ikea.com/sa/en/p/malm-chest-of-6-drawers-white-60403584/,SR849
917,40519000,SÖDERHAMN,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/soederhamn-cover-for-armrest-fridtuna-light-beige-40519000/,SR80
918,248567,SUNDVIK,Nursery furniture,https://www.ikea.com/sa/en/p/sundvik-cot-white-00248567/,SR995
919,80213074,MICKE,Tables & desks,https://www.ikea.com/sa/en/p/micke-desk-white-80213074/,SR529
920,40563762,ALEX,Chests of drawers & drawer units,https://www.ikea.com/sa/en/p/alex-storage-unit-grey-turquoise-40563762/,SR345
921,90095428,TÄRNÖ,Dining furniture,https://www.ikea.com/sa/en/p/taernoe-chair-outdoor-foldable-black-light-brown-stained-90095428/,SR75
922,10497132,BACKSÄLEN,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/backsaelen-cover-for-1-5-seat-armchair-blekinge-white-10497132/,SR545
923,80496092,VIMLE,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/vimle-cover-for-3-seat-section-hallarp-beige-80496092/,SR645
924,80551309,RUNMARÖ,Bookcases & shelving units,https://www.ikea.com/sa/en/p/runmaroe-shelving-unit-dark-grey-indoor-outdoor-80551309/,SR595
925,20531239,IVAR,Cabinets & cupboards,https://www.ikea.com/sa/en/p/ivar-cabinet-with-door-black-mesh-20531239/,SR465
926,90477941,REMSTA,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/remsta-armchair-hakebo-dark-grey-90477941/,SR899
927,90521915,JÄTTESTA,Tables & desks,https://www.ikea.com/sa/en/p/jaettesta-side-table-black-90521915/,SR499
928,10417734,SIBBHULT,Bookcases & shelving units,https://www.ikea.com/sa/en/p/sibbhult-bracket-white-10417734/,SR6
929,121766,INGOLF,Bar furniture,https://www.ikea.com/sa/en/p/ingolf-bar-stool-with-backrest-white-00121766/,SR449
930,90515759,DUVSKÄR,Outdoor furniture,https://www.ikea.com/sa/en/p/duvskaer-table-outdoor-black-blue-eucalyptus-90515759/,SR545
931,400692,BRIMNES,Beds,https://www.ikea.com/sa/en/p/brimnes-headboard-with-storage-compartment-white-00400692/,SR300
932,80389148,FANBYN,Dining furniture,https://www.ikea.com/sa/en/p/fanbyn-seat-shell-white-80389148/,SR175
